LineId,Time,Content,EventId,Date
10,2017-12-23 22:15:29.648,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
19,2017-12-23 22:15:29.962,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
26,2017-12-23 22:15:30.641,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
33,2017-12-23 22:15:31.160,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
40,2017-12-23 22:15:32.162,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
47,2017-12-23 22:15:32.658,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
54,2017-12-23 22:15:33.149,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
61,2017-12-23 22:15:33.662,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
71,2017-12-23 22:15:35.220,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
82,2017-12-23 22:15:35.112,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
91,2017-12-23 22:15:35.421,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
98,2017-12-23 22:15:36.157,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
105,2017-12-23 22:15:36.672,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
112,2017-12-23 22:15:37.670,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
119,2017-12-23 22:15:38.164,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
126,2017-12-23 22:15:38.669,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
133,2017-12-23 22:15:39.156,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
140,2017-12-23 22:15:39.669,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
147,2017-12-23 22:15:40.675,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
154,2017-12-23 22:15:41.153,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
161,2017-12-23 22:15:41.670,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
168,2017-12-23 22:15:42.164,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
175,2017-12-23 22:15:43.163,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
182,2017-12-23 22:15:43.679,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
189,2017-12-23 22:15:44.166,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
196,2017-12-23 22:15:45.161,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
203,2017-12-23 22:15:45.658,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
210,2017-12-23 22:15:46.160,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
217,2017-12-23 22:15:46.679,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
224,2017-12-23 22:15:47.661,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
231,2017-12-23 22:15:48.169,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
238,2017-12-23 22:15:48.676,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
245,2017-12-23 22:15:49.675,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
252,2017-12-23 22:15:50.181,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
259,2017-12-23 22:15:51.180,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
266,2017-12-23 22:15:52.183,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
273,2017-12-23 22:15:52.674,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
280,2017-12-23 22:15:53.673,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
287,2017-12-23 22:15:54.660,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
294,2017-12-23 22:15:55.659,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
301,2017-12-23 22:15:56.169,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
308,2017-12-23 22:15:58.174,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
316,2017-12-23 22:16:00.161,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
323,2017-12-23 22:16:01.172,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
330,2017-12-23 22:17:19.174,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
336,2017-12-23 22:17:20.669,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
343,2017-12-23 22:17:21.164,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
350,2017-12-23 22:17:21.663,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
357,2017-12-23 22:17:22.166,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
364,2017-12-23 22:17:22.665,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
371,2017-12-23 22:17:23.165,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
378,2017-12-23 22:17:23.667,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
385,2017-12-23 22:17:24.166,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
392,2017-12-23 22:17:24.668,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
399,2017-12-23 22:17:25.162,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
406,2017-12-23 22:17:28.170,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
412,2017-12-23 22:17:45.166,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
419,2017-12-23 22:17:45.668,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
426,2017-12-23 22:17:46.167,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
433,2017-12-23 22:17:46.661,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
440,2017-12-23 22:17:47.165,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
447,2017-12-23 22:17:47.662,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
454,2017-12-23 22:17:48.162,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
461,2017-12-23 22:17:48.661,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
468,2017-12-23 22:17:49.166,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
475,2017-12-23 22:17:49.664,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
482,2017-12-23 22:17:50.158,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
489,2017-12-23 22:17:50.661,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
496,2017-12-23 22:17:51.161,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
503,2017-12-23 22:17:51.677,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
510,2017-12-23 22:17:52.169,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
517,2017-12-23 22:17:53.168,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
524,2017-12-23 22:17:54.175,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
531,2017-12-23 22:17:55.166,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
538,2017-12-23 22:17:55.660,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
545,2017-12-23 22:17:56.671,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
552,2017-12-23 22:17:57.662,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
559,2017-12-23 22:17:58.162,calculateAltitudeWithCache totalAltitude=240,E3,2017-12-23
